#M@4096x4096;  8; 16; 24; 32; 40; 48; 56; 64; 72; 80; 88; 96;104;112;120;128
cpu_only_0;   0.008;   0.023;   0.035;   0.046;   0.052;   0.071;   0.069;   0.087;   0.094;   0.107;   0.123;   0.119;   0.151;   0.126;   0.155;   0.162
cpu_only_1;   6.826;  16.290;  18.517;  24.784;  30.693;  39.873;  43.594;  53.106;  58.715;  69.845;  72.269;  84.089;  84.817;  92.582;  97.355; 104.106
with_gpu_0;  10.957;  11.210;  10.971;  11.226;  10.867;  10.918;  10.946;  13.648;  11.030;  12.824;  10.837;  13.279;  10.800;  10.818;  10.867;  10.796
with_gpu_1;   6.154;   5.771;   7.600;   7.255;   7.943;   8.461;   8.365;   9.833;   9.213;  10.702;  10.702;  13.497;  10.819;  10.882;  11.367;  11.551

#M@4096x11008;  8; 16; 24; 32; 40; 48; 56; 64; 72; 80; 88; 96;104;112;120;128
cpu_only_0;   0.023;   0.094;   0.100;   0.101;   0.204;   0.207;   0.222;   0.226;   0.239;   0.292;   0.454;   0.385;   0.446;   0.448;   0.461;   0.488
cpu_only_1;  16.774;  32.861;  51.241;  70.380;  88.739; 103.979; 122.013; 139.537; 155.747; 174.712; 193.371; 207.373; 225.197; 242.624; 259.946; 276.936
with_gpu_0;  30.032;  30.021;  30.002;  30.020;  29.842;  30.216;  29.927;  29.979;  29.667;  30.571;  29.872;  29.577;  29.560;  29.749;  29.814;  29.754
with_gpu_1;   9.345;  10.051;  11.564;  11.466;  11.387;  13.392;  15.749;  15.650;  16.443;  18.757;  25.508;  19.463;  21.227;  24.112;  23.787;  26.115

#M@11008x4096;  8; 16; 24; 32; 40; 48; 56; 64; 72; 80; 88; 96;104;112;120;128
cpu_only_0;   0.008;   0.017;   0.026;   0.035;   0.043;   0.057;   0.067;   0.070;   0.081;   0.126;   0.102;   0.112;   0.139;   0.141;   0.151;   0.149
cpu_only_1;  16.553;  32.788;  49.558;  65.549;  82.543;  99.184; 117.653; 136.302; 155.378; 174.519; 191.114; 207.294; 228.210; 245.619; 263.605; 280.241
with_gpu_0;  29.813;  29.326;  29.290;  29.508;  29.134;  29.182;  29.400;  29.354;  29.250;  29.416;  29.437;  29.145;  29.422;  29.210;  29.837;  28.653
with_gpu_1;  20.375;  20.484;  21.634;  23.758;  22.211;  25.551;  24.877;  26.937;  27.186;  28.224;  30.124;  31.270;  32.784;  34.796;  35.829;  36.664

#M@32000x4096;  8; 16; 24; 32; 40; 48; 56; 64; 72; 80; 88; 96;104;112;120;128
cpu_only_0;   0.008;   0.016;   0.025;   0.035;   0.040;   0.056;   0.080;   0.068;   0.106;   0.126;   0.103;   0.107;   0.112;   0.165;   0.142;   0.187
cpu_only_1;  49.313;  95.501; 142.572; 191.589; 237.789; 287.761; 341.144; 396.632; 449.337; 505.316; 559.686; 610.100; 661.614; 706.957; 762.938; 811.192
with_gpu_0;  86.181;  85.984;  86.019;  86.148;  85.797;  85.864;  86.211;  85.657;  85.951;  85.886;  85.586;  85.934;  85.945;  86.553;  85.248;  85.815
with_gpu_1;  63.837;  66.032;  70.922;  73.599;  75.674;  79.046;  81.701;  83.930;  87.990;  91.538;  95.377;  98.304; 104.092; 104.942; 109.150; 113.508
