 Tell me the size of earth.
DEBUG: n_threads changed to 1
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     76
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,  48323
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  13571
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,  16054
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     63
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9018
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14260
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9605
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     70
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9225
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14998
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8548
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     61
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   8944
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14734
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8494
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     61
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  93153
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  33131
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  30925
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     79
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  26278
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  38545
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  30675
====== CPU  INIT: M:     8, N:  5120, K: 13824, 0-th,    210
====== BLAS INIT: M:     8, N:  5120, K: 13824, 0-th,  25464
====== CPU  COMP: M:     8, N:  5120, K: 13824, 0-th,  37628
====== BLAS COMP: M:     8, N:  5120, K: 13824, 0-th,  14659
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     68
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9261
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15067
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8382
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     66
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   8964
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14818
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8113
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     70
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9142
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14383
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   7662
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     63
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   8989
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14523
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   7576
